complaint;category
Namaste sir, main ek kisan hoon from Koderma village and the price we are getting for our produce at the mandi is much lower than the announced MSP. Waiting for your response.;Agriculture & Rural Development
The electricity bill this month is unusually high even though our usage has not increased. Requesting you to resolve this soon.;Energy & Sustainability
Respected Sir/Madam, the railway crossing near Torpa has no gate and it is very dangerous for pedestrians. We have been complaining about this for a long time now.;Safety & Public Welfare
Sir ji, we have not received soil testing results even after applying 8 weeks ago. Hope for quick action from your side.;Agriculture & Rural Development
There is no police patrol at night in the Barhi area and residents feel unsafe. Kindly send someone to check as soon as possible.;Safety & Public Welfare
Sir ji, many people in Dumka have fallen sick with diarrhea after the recent floods. Kindly arrange for medicines and a health camp in our area.;Public Health
Respected Sir/Madam, there is no proper lighting on the Latehar street and women feel scared to walk alone at night. Kindly send someone to check as soon as possible.;Safety & Public Welfare
Sir ji, our school does not have a library and students have no access to reference books. Please help us as soon as possible.;Education
Respected Sir/Madam, power supply in Chandpur keeps going off every time it rains. Kindly send someone to check as soon as possible.;Energy & Sustainability
Hello, solar street lights installed in Ranchi stopped working within a few months. Kindly take necessary action.;Energy & Sustainability
Every day in Jamshedpur the transformer near Silli keeps tripping and causing frequent power fluctuations. This is affecting our daily work a lot.;Energy & Sustainability
Sir ji, our school does not have enough teachers for science and maths subjects. Hope for quick action from your side.;Education
Respected Authority, the culvert near Netarhat has collapsed and villagers have to take a long detour now. We have met with several accidents because of this.;Infrastructure & Roads
Hello, the culvert near Nagla Basti has collapsed and villagers have to take a long detour now. We have been complaining about this for a long time now.;Infrastructure & Roads
Sir, plastic waste is being burnt openly near Koderma every evening. Kindly clear the waste before it becomes a health hazard.;Waste Management
Every evening in Pakur there is a strong chemical smell coming from the industrial area near Shivpuri every night. Kindly send someone to check as soon as possible.;Air & Environmental Pollution
Sir ji, the road was dug up for pipeline work 39 months ago and still has not been repaired. We have met with several accidents because of this.;Infrastructure & Roads
Dear Officer, many people in Manjhgaon have fallen sick with diarrhea after the recent floods. Kindly take necessary action.;Public Health
Namaste sir, main ek kisan hoon from Palamu village and the irrigation canal near Gumla has been dry for the entire season and our crops are dying. This needs to be fixed immediately.;Agriculture & Rural Development
I run a small shop in Bishnupur and there has been a power cut in Sultanpur for more than 43 hours every day. Please send an electrician to check the meter and wiring.;Energy & Sustainability
I run a shop near Torpa market and the drainage near the market in Madhopur is blocked with garbage and overflowing. Waiting for your response.;Waste Management
Hello, there is no proper lighting on the Kishanpur street and women feel scared to walk alone at night. Kindly take necessary action.;Safety & Public Welfare
Being a parent in Koderma, there is no proper lighting on the Torpa street and women feel scared to walk alone at night. Waiting for your response.;Safety & Public Welfare
Sir ji, the coal transport trucks passing through Silli spread black dust all over our houses. Kindly take necessary action.;Air & Environmental Pollution
Being a parent in Pakur, there is no streetlight near the girls hostel in Kishanpur and it feels unsafe to walk at night. We do not feel safe in our own neighbourhood anymore.;Safety & Public Welfare
Sir, the government school building in Nagla Basti has a leaking roof and classes get disturbed during rain. Please send more teachers to our school soon.;Education
I run a small shop in Manjhgaon and voltage fluctuation in Khunti has damaged several household appliances recently. Please help us as soon as possible.;Energy & Sustainability
To whom it may concern, factory waste is being dumped into the river near Devgarh which we use for drinking water.;Water Quality & Sanitation
As a resident of Chaibasa I want to inform you that many people in Sultanpur have fallen sick with diarrhea after the recent floods. Requesting you to resolve this soon.;Public Health
As a resident of Jamtara I want to inform you that the nearest hospital from Tamar is very far and there is no transport during emergencies. Please send a doctor to our health centre soon.;Public Health
Dear Officer, the anganwadi centre in Dhanbad has not distributed nutrition supplements in months. Please send a doctor to our health centre soon.;Public Health
Sir, the crop insurance claim for last season has still not been paid to farmers in Gumla. Please help us as soon as possible.;Agriculture & Rural Development
Dear Officer, voltage fluctuation in Bishnupur has damaged several household appliances recently. Kindly send someone to check as soon as possible.;Energy & Sustainability
Sir, we have not received soil testing results even after applying 31 weeks ago. We are facing a lot of losses because of this, please help soon.;Agriculture & Rural Development
I am writing on behalf of the residents of Giridih because my child has been suffering from fever for 4 days and the local clinic has no medicines. Waiting for your response.;Public Health
Every morning in Sahibganj garbage has not been collected from our street in Netarhat for over a week. Please look into this matter urgently.;Waste Management
We residents of Bokaro want to inform you that power supply in Khunti keeps going off every time it rains. Please look into this matter urgently.;Energy & Sustainability
Respected Authority, there has been a power cut in Madhopur for more than 29 hours every day. Please help us as soon as possible.;Energy & Sustainability
I am a resident of Dumka and our children have been falling sick after drinking the water supplied in Bero. Kindly take necessary action.;Water Quality & Sanitation
To whom it may concern, there are open manholes on the Simdega road which is very risky at night.;Infrastructure & Roads
Hello, power supply in Gumla keeps going off every time it rains. Kindly restore the power supply as soon as possible.;Energy & Sustainability
Our school in Deoghar there is no internet facility in our school which makes it hard to access online classes. Kindly arrange for the missing textbooks before our exams.;Education
Respected Sir/Madam, people are dumping waste in the open plot near Bokaro and it is attracting stray animals. Waiting for your response.;Waste Management
Sir, there has been a power cut in Pakur for more than 12 hours every day. Kindly send someone to check as soon as possible.;Energy & Sustainability
Sir ji, the hand pump in our village has been broken for 17 days and we have to walk far to fetch water. Hope for quick action from your side.;Water Quality & Sanitation
The boundary wall of the community park in Simdega is broken and children can wander onto the main road. Kindly send someone to check as soon as possible.;Safety & Public Welfare
Hello, the primary health centre in Bokaro has no doctor available most days. This needs to be fixed immediately.;Public Health
My child has been unwell and the nearest hospital from Ranchi is very far and there is no transport during emergencies. Please send a doctor to our health centre soon.;Public Health
Every day while going to work through Jamtara during the rainy season the road near Ranchi gets completely waterlogged and unusable. Hope for quick action from your side.;Infrastructure & Roads
Respected Authority, there are no proper toilets for girls in our school and many students skip classes because of this. Requesting you to resolve this soon.;Education
Namaste sir, main ek kisan hoon from Netarhat village and we have not received soil testing results even after applying 6 weeks ago. Kindly take necessary action.;Agriculture & Rural Development
To whom it may concern, there is no dustbin provided in the market area of Giridih so people throw garbage on the road. This needs to be fixed immediately.;Waste Management
Sir ji, the irrigation canal near Bundu has been dry for the entire season and our crops are dying. This needs to be fixed immediately.;Agriculture & Rural Development
Dear Officer, we have not received our textbooks even though the session started 45 months ago. Kindly send someone to check as soon as possible.;Education
Dear Officer, the irrigation canal near Chaibasa has been dry for the entire season and our crops are dying. Requesting you to resolve this soon.;Agriculture & Rural Development
Dear Officer, factory waste is being dumped into the river near Sultanpur which we use for drinking water. Please send someone to test the water quality soon.;Water Quality & Sanitation
Plastic waste is being burnt openly near Shivpuri every evening. This needs to be fixed immediately.;Waste Management
Sir, I am a farmer from Palamu and there has been no proper storage facility in Dumka and a lot of our grain gets spoiled every year. Kindly send an agriculture officer to inspect our fields.;Agriculture & Rural Development
Respected Authority, there have been several incidents of chain snatching near Manjhgaon market recently.;Safety & Public Welfare
Hello, stagnant water has collected near the sanitation tank in Dhanbad for weeks now. Kindly send someone to check as soon as possible.;Water Quality & Sanitation
Sir ji, there is a strong chemical smell coming from the industrial area near Gumla every night. This needs to be fixed immediately.;Air & Environmental Pollution
Sir ji, the crop insurance claim for last season has still not been paid to farmers in Netarhat. Please help us kisano ko, we are very troubled by this.;Agriculture & Rural Development
Dear Officer, plastic waste is being burnt openly near Gumla every evening. This needs to be fixed immediately.;Waste Management
Respected Sir/Madam, mosquito breeding near the stagnant water in Devgarh is causing malaria cases to rise. Kindly arrange for medicines and a health camp in our area.;Public Health
Sir ji, factory waste is being dumped into the river near Tamar which we use for drinking water. Waiting for your response.;Water Quality & Sanitation
To whom it may concern, voltage fluctuation in Bundu has damaged several household appliances recently. We have been complaining about this for a long time now.;Energy & Sustainability
Every day in Godda there has been a power cut in Giridih for more than 38 hours every day. We have been complaining about this for a long time now.;Energy & Sustainability
To whom it may concern, our school has no boundary wall and it is not safe during exam season. Hope for quick action from your side.;Education
I stay near the industrial area of Bero and smoke from the nearby thermal plant has made it difficult to breathe in Dumka lately. Waiting for your response.;Air & Environmental Pollution
Dear Officer, the water supplied through the tanker in Hazaribagh is not treated and looks dirty. We are worried about the health of our children because of this water.;Water Quality & Sanitation
Sewage water is mixing with the drinking water pipeline in Devgarh. Hope for quick action from your side.;Water Quality & Sanitation
Hello, the stone crushing unit near Chatra covers our entire area in dust every afternoon. This needs to be fixed immediately.;Air & Environmental Pollution
Dear Officer, the government hospital in Bundu is always out of even basic medicines.;Public Health
I run a shop near Lakhanpur market and plastic waste is being burnt openly near Ranchi every evening.;Waste Management
Dear Officer, the garbage collection point near Jamshedpur has not been cleared in weeks and smells very bad. Please help us as soon as possible.;Waste Management
Respected Sir/Madam, we have not received the promised fertilizer subsidy this year. Please help us as soon as possible.;Agriculture & Rural Development
As a resident of Sahibganj I want to inform you that the health worker has not visited our village for vaccination in over 31 weeks. We have been complaining about this for a long time now.;Public Health
Sir ji, the primary health centre in Dumka has no doctor available most days. This needs to be fixed immediately.;Public Health
Hello, there have been several incidents of chain snatching near Karra market recently. Kindly send someone to check as soon as possible.;Safety & Public Welfare
As a parent of a student in Silli school, the computer lab in our school has been non functional for a long time. Kindly send someone to check as soon as possible.;Education
To whom it may concern, there is a strong chemical smell coming from the industrial area near Tamar every night. Requesting you to resolve this soon.;Air & Environmental Pollution
Waste from the nearby slaughterhouse is being dumped near Manjhgaon without any treatment. Kindly clear the waste before it becomes a health hazard.;Waste Management
Sir, there is no streetlight near the girls hostel in Nagla Basti and it feels unsafe to walk at night. Requesting you to resolve this soon.;Safety & Public Welfare
Our school in Lakhanpur the nearest school for higher secondary is very far from Lakhanpur and many students drop out because of this. Requesting you to resolve this soon.;Education
Sir ji, voltage fluctuation in Latehar has damaged several household appliances recently. Waiting for your response.;Energy & Sustainability
Every day while going to work through Pathalgaon there are open manholes on the Madhopur road which is very risky at night. This needs to be fixed immediately.;Infrastructure & Roads
Sir, the water pipeline burst 30 days ago and dirty muddy water is entering our homes. Requesting you to resolve this soon.;Water Quality & Sanitation
Namaste sir, main ek kisan hoon from Jamshedpur village and the irrigation canal near Chandpur has been dry for the entire season and our crops are dying. Hope for quick action from your side.;Agriculture & Rural Development
Respected Sir/Madam, our school has no boundary wall and it is not safe during exam season.;Education
I am a student studying in Sultanpur and the computer lab in our school has been non functional for a long time. Kindly send someone to check as soon as possible.;Education
Sir, voltage fluctuation in Kishanpur has damaged several household appliances recently. Requesting you to resolve this soon.;Energy & Sustainability
We residents of Simdega colony want to bring to your notice that we cannot sit outside in the evening because of smoke from the nearby factory chimney. Kindly take necessary action.;Air & Environmental Pollution
Respected Sir/Madam, the government hospital in Chatra is always out of even basic medicines. Kindly send someone to check as soon as possible.;Public Health
Dear Officer, wild animals from the nearby forest keep destroying our crops in Silli at night. We have been complaining about this for a long time now.;Agriculture & Rural Development
Hello, the CCTV cameras installed near Chandpur market have not been working for months. We do not feel safe in our own neighbourhood anymore.;Safety & Public Welfare
Every day in Netarhat voltage fluctuation in Pakur has damaged several household appliances recently. Kindly take necessary action.;Energy & Sustainability
Sir, the transformer near Khunti keeps tripping and causing frequent power fluctuations. Requesting you to resolve this soon.;Energy & Sustainability
Dear Officer, there have been several incidents of chain snatching near Khunti market recently. We have been complaining about this for a long time now.;Safety & Public Welfare
Dear Officer, there is a strong chemical smell coming from the industrial area near Rampur every night. Please help us as soon as possible.;Air & Environmental Pollution
I am writing on behalf of the residents of Koderma because there is no ambulance service available in Gumla during emergencies. Please send a doctor to our health centre soon.;Public Health
Respected Sir/Madam, the road divider near Bishnupur market is broken and causing traffic problems every day.;Infrastructure & Roads
To whom it may concern, the borewell water in our locality has become very hard and is damaging our utensils. This needs to be fixed immediately.;Water Quality & Sanitation
Sir, the garbage collection point near Ramgarh has not been cleared in weeks and smells very bad. We have been complaining about this for a long time now.;Waste Management
Sir ji, the playground equipment in Bishnupur is broken and rusted, it is not safe for children anymore. Requesting you to resolve this soon.;Safety & Public Welfare
Sir ji, the nearest hospital from Lakhanpur is very far and there is no transport during emergencies. Kindly take necessary action.;Public Health
Hello, there has been an outbreak of dengue in Silli and the health department has not sprayed anything. Please look into this matter urgently.;Public Health
Dear Officer, people are dumping waste in the open plot near Dhanbad and it is attracting stray animals. We have been complaining about this for a long time now.;Waste Management
Respected Sir/Madam, stagnant water has collected near the sanitation tank in Sahibganj for weeks now. Hope for quick action from your side.;Water Quality & Sanitation
Respected Sir/Madam, voltage fluctuation in Lakhanpur has damaged several household appliances recently. Requesting you to resolve this soon.;Energy & Sustainability
Respected Authority, the electricity bill this month is unusually high even though our usage has not increased.;Energy & Sustainability
The transformer near Bokaro keeps tripping and causing frequent power fluctuations. This needs to be fixed immediately.;Energy & Sustainability
Respected Authority, the brick kiln near our village releases smoke all day and our crops are getting affected.;Air & Environmental Pollution
Sir, there is no police patrol at night in the Latehar area and residents feel unsafe. Requesting you to resolve this soon.;Safety & Public Welfare
Hello, during the rainy season the road near Barhi gets completely waterlogged and unusable. This needs to be fixed immediately.;Infrastructure & Roads
Hello, our school does not have a library and students have no access to reference books. Requesting you to resolve this soon.;Education
Every day while going to work through Karra there are open manholes on the Silli road which is very risky at night. Please look into this matter urgently.;Infrastructure & Roads
My child has been unwell and the primary health centre in Silli has no doctor available most days. Requesting you to resolve this soon.;Public Health
We residents of Godda street want to inform you that the municipal waste truck skips our area most days. This needs to be fixed immediately.;Waste Management
We the commuters of Latehar road want to inform you that the road divider near Gumla market is broken and causing traffic problems every day. Please look into this matter urgently.;Infrastructure & Roads
We the residents of Giridih colony want to inform you that the boundary wall of the community park in Bero is broken and children can wander onto the main road. Please increase police patrolling in our area.;Safety & Public Welfare
People are dumping waste in the open plot near Godda and it is attracting stray animals. Please send the garbage truck to our area regularly.;Waste Management
I run a small shop in Jamtara and the electricity bill this month is unusually high even though our usage has not increased. Kindly take necessary action.;Energy & Sustainability
Respected Sir/Madam, the new transformer promised for Barhi has still not been installed. Please look into this matter urgently.;Energy & Sustainability
Dear Officer, vehicles passing through Hazaribagh road release thick black smoke and no pollution check ever happens. Hope for quick action from your side.;Air & Environmental Pollution
Sir, there are open manholes on the Chaibasa road which is very risky at night. Please help us as soon as possible.;Infrastructure & Roads
Respected Sir/Madam, waste from the nearby slaughterhouse is being dumped near Ranchi without any treatment. Kindly clear the waste before it becomes a health hazard.;Waste Management
Every morning in Godda the drainage near the market in Lakhanpur is blocked with garbage and overflowing. Requesting you to resolve this soon.;Waste Management
Dear Officer, our children have been falling sick after drinking the water supplied in Shivpuri. We have been complaining about this for a long time now.;Water Quality & Sanitation
To whom it may concern, the old age home in Godda does not have enough staff to take care of the residents. We have been complaining about this for a long time now.;Safety & Public Welfare
Dear Officer, there is no ambulance service available in Gumla during emergencies. Kindly arrange for medicines and a health camp in our area.;Public Health
I run a shop near Nagla Basti market and there is no dustbin provided in the market area of Jamtara so people throw garbage on the road. Please look into this matter urgently.;Waste Management
Sir, the drainage near the market in Chatra is blocked with garbage and overflowing. Requesting you to resolve this soon.;Waste Management
Respected Sir/Madam, the boundary wall of the community park in Simdega is broken and children can wander onto the main road. We do not feel safe in our own neighbourhood anymore.;Safety & Public Welfare
Hello, the railway crossing near Ramgarh has no gate and it is very dangerous for pedestrians. We have been complaining about this for a long time now.;Safety & Public Welfare
To whom it may concern, the road connecting Ranchi to the main highway has huge potholes and is very dangerous. Kindly install streetlights on this stretch as soon as possible.;Infrastructure & Roads
Dear Officer, there has been an outbreak of dengue in Rampur and the health department has not sprayed anything. Kindly take necessary action.;Public Health
There is no proper sanitation in the hospital ward and patients are getting infections. Please look into this matter urgently.;Public Health
Respected Authority, the borewell water in our locality has become very hard and is damaging our utensils. This needs to be fixed immediately.;Water Quality & Sanitation
Dear Officer, the electricity bill this month is unusually high even though our usage has not increased. Kindly restore the power supply as soon as possible.;Energy & Sustainability
I am a class 11 student from Rampur and our school does not have enough teachers for science and maths subjects.;Education
Hello, the public toilet near Silli has no water connection and cannot be used. We have been complaining about this for a long time now.;Water Quality & Sanitation
To whom it may concern, the municipal waste truck skips our area most days. Kindly take necessary action.;Waste Management
I am a student studying in Devgarh and there is no internet facility in our school which makes it hard to access online classes. Waiting for your response.;Education
The old age home in Latehar does not have enough staff to take care of the residents. Kindly send someone to check as soon as possible.;Safety & Public Welfare
My child has been unwell and the health worker has not visited our village for vaccination in over 33 weeks. We are really worried about the health of our children.;Public Health
To whom it may concern, smoke from the nearby thermal plant has made it difficult to breathe in Jamtara lately. Please help us as soon as possible.;Air & Environmental Pollution
Namaste sir, main ek kisan hoon from Bundu village and the crop insurance claim for last season has still not been paid to farmers in Jamtara. Requesting you to resolve this soon.;Agriculture & Rural Development
To whom it may concern, our children have been falling sick after drinking the water supplied in Koderma. Please look into this matter urgently.;Water Quality & Sanitation
We the commuters of Ramgarh road want to inform you that the road was dug up for pipeline work 17 months ago and still has not been repaired. Please help us as soon as possible.;Infrastructure & Roads
Hello, the bridge near Chaibasa is damaged and vehicles are struggling to cross it. Kindly install streetlights on this stretch as soon as possible.;Infrastructure & Roads
Our school in Simdega the computer lab in our school has been non functional for a long time.;Education
Respected Sir/Madam, many people in Simdega have fallen sick with diarrhea after the recent floods. This needs to be fixed immediately.;Public Health
We residents of Jamshedpur street want to inform you that people are dumping waste in the open plot near Deoghar and it is attracting stray animals. This needs to be fixed immediately.;Waste Management
I run a shop near Nagla Basti market and the drainage near the market in Jamtara is blocked with garbage and overflowing. Please look into this matter urgently.;Waste Management
Respected Authority, open drains near Bero are overflowing and spreading a foul smell all over the street. This needs to be fixed immediately.;Water Quality & Sanitation
I stay near the industrial area of Barhi and the factory near Kishanpur releases thick black smoke every day and it is hard to breathe. Please look into this matter urgently.;Air & Environmental Pollution
We the farmers of Lakhanpur want to inform you that the seeds supplied by the agriculture department this season did not germinate properly. Please look into this matter urgently.;Agriculture & Rural Development
Dear Officer, factory waste is being dumped into the river near Latehar which we use for drinking water. This needs to be fixed immediately.;Water Quality & Sanitation
The crop insurance claim for last season has still not been paid to farmers in Chatra. Requesting you to resolve this soon.;Agriculture & Rural Development
Dear Officer, the air quality in Barhi has become very bad and my family keeps coughing.;Air & Environmental Pollution
I have been living in Jamshedpur for many years and sewage water is mixing with the drinking water pipeline in Chandpur. Please look into this matter urgently.;Water Quality & Sanitation
There has been a power cut in Tamar for more than 2 hours every day. Please look into this matter urgently.;Energy & Sustainability
Respected Sir/Madam, garbage has not been collected from our street in Torpa for over a week. Please help us as soon as possible.;Waste Management
Many people in Pakur have fallen sick with diarrhea after the recent floods. Kindly take necessary action.;Public Health
Sir, open drains near Chaibasa are overflowing and spreading a foul smell all over the street. We have been complaining about this for a long time now.;Water Quality & Sanitation
Respected Authority, there is no proper sewage system in Torpa and waste water collects on the road every day.;Water Quality & Sanitation
I run a shop near Ramgarh market and the drainage near the market in Nagla Basti is blocked with garbage and overflowing. Requesting you to resolve this soon.;Waste Management
We residents of Simdega colony want to bring to your notice that the air quality in Chandpur has become very bad and my family keeps coughing. Our children are developing breathing problems because of this smoke.;Air & Environmental Pollution
I am a class 13 student from Gumla and there is only one teacher for the entire primary school in Devgarh. Kindly send someone to check as soon as possible.;Education
The footpath near Hazaribagh has been broken for a long time and it is difficult for elderly people to walk. We have met with several accidents because of this.;Infrastructure & Roads
Sir, there are open manholes on the Ramgarh road which is very risky at night. We have met with several accidents because of this.;Infrastructure & Roads
As a woman living in Manjhgaon, there have been several incidents of chain snatching near Godda market recently. Please increase police patrolling in our area.;Safety & Public Welfare
We residents of Bishnupur want to inform you that the electricity bill this month is unusually high even though our usage has not increased. Please help us as soon as possible.;Energy & Sustainability
Respected Authority, there are no proper road signs on the Simdega bypass and accidents keep happening. This needs to be fixed immediately.;Infrastructure & Roads
I run a shop near Dumka market and the garbage collection point near Nagla Basti has not been cleared in weeks and smells very bad. Kindly clear the waste before it becomes a health hazard.;Waste Management
We residents of Nagla Basti want to inform you that the transformer near Chatra keeps tripping and causing frequent power fluctuations. This needs to be fixed immediately.;Energy & Sustainability
We residents of Jamshedpur street want to inform you that plastic waste is being burnt openly near Ramgarh every evening. This needs to be fixed immediately.;Waste Management
Respected Authority, there are no proper road signs on the Chaibasa bypass and accidents keep happening.;Infrastructure & Roads
Hello, there have been several incidents of chain snatching near Kishanpur market recently. Requesting you to resolve this soon.;Safety & Public Welfare
Every day in Giridih the electricity bill this month is unusually high even though our usage has not increased. Waiting for your response.;Energy & Sustainability
During the rainy season the road near Sultanpur gets completely waterlogged and unusable. This needs to be fixed immediately.;Infrastructure & Roads
Sir ji, plastic waste is being burnt openly near Khunti every evening. Requesting you to resolve this soon.;Waste Management
Sir, factory waste is being dumped into the river near Ramgarh which we use for drinking water. Please send someone to test the water quality soon.;Water Quality & Sanitation
As a parent of a student in Lakhanpur school, there are no proper toilets for girls in our school and many students skip classes because of this. Requesting you to resolve this soon.;Education
Respected Sir/Madam, there is only one teacher for the entire primary school in Khunti. Please look into this matter urgently.;Education
As a parent of a student in Sultanpur school, the computer lab in our school has been non functional for a long time. Kindly take necessary action.;Education
Sir ji, the health worker has not visited our village for vaccination in over 42 weeks. Waiting for your response.;Public Health
Sir ji, people are dumping waste in the open plot near Deoghar and it is attracting stray animals. Kindly clear the waste before it becomes a health hazard.;Waste Management
Hello, wild animals from the nearby forest keep destroying our crops in Manjhgaon at night. We are facing a lot of losses because of this, please help soon.;Agriculture & Rural Development
We residents of Rampur want to inform you that our village still does not have a proper electricity connection even after being promised one. This needs to be fixed immediately.;Energy & Sustainability
To whom it may concern, the nearest school for higher secondary is very far from Chatra and many students drop out because of this. This needs to be fixed immediately.;Education
Hello, voltage fluctuation in Bishnupur has damaged several household appliances recently. Requesting you to resolve this soon.;Energy & Sustainability
Hello, smoke from the nearby thermal plant has made it difficult to breathe in Madhopur lately. Our children are developing breathing problems because of this smoke.;Air & Environmental Pollution
I am a student studying in Sahibganj and there is no internet facility in our school which makes it hard to access online classes. This needs to be fixed immediately.;Education
Every day in Simdega power supply in Latehar keeps going off every time it rains. Please help us as soon as possible.;Energy & Sustainability
Respected Sir/Madam, power supply in Dhanbad keeps going off every time it rains. Please help us as soon as possible.;Energy & Sustainability
We the farmers of Shivpuri want to inform you that we have not received soil testing results even after applying 21 weeks ago. Kindly send an agriculture officer to inspect our fields.;Agriculture & Rural Development
Sir ji, solar street lights installed in Shivpuri stopped working within a few months. Kindly take necessary action.;Energy & Sustainability
Respected Authority, the health worker has not visited our village for vaccination in over 10 weeks.;Public Health
Dear Officer, there has been an outbreak of dengue in Simdega and the health department has not sprayed anything. We have been complaining about this for a long time now.;Public Health
Respected Sir/Madam, there is no streetlight near the girls hostel in Pakur and it feels unsafe to walk at night. Kindly send someone to check as soon as possible.;Safety & Public Welfare
Every day in Dhanbad voltage fluctuation in Devgarh has damaged several household appliances recently.;Energy & Sustainability
Namaste sir, main ek kisan hoon from Chandpur village and the tube well provided by the government in Shivpuri stopped working after a few months.;Agriculture & Rural Development
To whom it may concern, the anganwadi centre in Simdega has not distributed nutrition supplements in months.;Public Health
We residents of Karra colony want to bring to your notice that smoke from the nearby thermal plant has made it difficult to breathe in Devgarh lately. Hope for quick action from your side.;Air & Environmental Pollution
We have not received our textbooks even though the session started 2 months ago. Hope for quick action from your side.;Education
Hello, the coal transport trucks passing through Devgarh spread black dust all over our houses. Please help us as soon as possible.;Air & Environmental Pollution
Respected Authority, the government school building in Jamshedpur has a leaking roof and classes get disturbed during rain. Requesting you to resolve this soon.;Education
Hello, the boundary wall of the community park in Manjhgaon is broken and children can wander onto the main road. Please help us as soon as possible.;Safety & Public Welfare
Our school does not have enough teachers for science and maths subjects. Please look into this matter urgently.;Education
Hello, during the rainy season the road near Jamtara gets completely waterlogged and unusable. Kindly install streetlights on this stretch as soon as possible.;Infrastructure & Roads
Dear Officer, there is no internet facility in our school which makes it hard to access online classes. Please look into this matter urgently.;Education
I am a resident of Bundu and the tap water in our area has turned yellow and smells very bad. Requesting you to resolve this soon.;Water Quality & Sanitation
I travel through Netarhat daily and the bridge near Khunti is damaged and vehicles are struggling to cross it. Requesting you to resolve this soon.;Infrastructure & Roads
The culvert near Devgarh has collapsed and villagers have to take a long detour now.;Infrastructure & Roads
Hello, the road connecting Ramgarh to the main highway has huge potholes and is very dangerous. Please look into this matter urgently.;Infrastructure & Roads
The railway crossing near Chaibasa has no gate and it is very dangerous for pedestrians. We do not feel safe in our own neighbourhood anymore.;Safety & Public Welfare
Every day while going to work through Koderma the road connecting Bundu to the main highway has huge potholes and is very dangerous. We have met with several accidents because of this.;Infrastructure & Roads
Sir, the health worker has not visited our village for vaccination in over 11 weeks. Please help us as soon as possible.;Public Health
Sir, sewage water is mixing with the drinking water pipeline in Manjhgaon. Hope for quick action from your side.;Water Quality & Sanitation
As a woman living in Dhanbad, there is no streetlight near the girls hostel in Torpa and it feels unsafe to walk at night. We do not feel safe in our own neighbourhood anymore.;Safety & Public Welfare
As a resident of Silli I want to inform you that many people in Gumla have fallen sick with diarrhea after the recent floods. This needs to be fixed immediately.;Public Health
Dear Officer, there has been a power cut in Palamu for more than 20 hours every day. This needs to be fixed immediately.;Energy & Sustainability
Respected Authority, there is no police patrol at night in the Chandpur area and residents feel unsafe. Requesting you to resolve this soon.;Safety & Public Welfare
My child has been unwell and the nearest hospital from Nagla Basti is very far and there is no transport during emergencies. Please send a doctor to our health centre soon.;Public Health
Sir, the transformer near Bokaro keeps tripping and causing frequent power fluctuations. Waiting for your response.;Energy & Sustainability
As a resident of Sahibganj I want to inform you that the anganwadi centre in Tamar has not distributed nutrition supplements in months. Please send a doctor to our health centre soon.;Public Health
I am a student studying in Gumla and there is no internet facility in our school which makes it hard to access online classes. Please help us as soon as possible.;Education
I have been living in Kishanpur for many years and open drains near Jamshedpur are overflowing and spreading a foul smell all over the street. Hope for quick action from your side.;Water Quality & Sanitation
Dear Officer, the road was dug up for pipeline work 19 months ago and still has not been repaired. This needs to be fixed immediately.;Infrastructure & Roads
We the commuters of Giridih road want to inform you that the culvert near Rampur has collapsed and villagers have to take a long detour now. Waiting for your response.;Infrastructure & Roads
Dear Officer, the borewell water in our locality has become very hard and is damaging our utensils. Please look into this matter urgently.;Water Quality & Sanitation
Hello, the tube well provided by the government in Tamar stopped working after a few months. Please help us as soon as possible.;Agriculture & Rural Development
Hello, the bridge near Rampur is damaged and vehicles are struggling to cross it. This needs to be fixed immediately.;Infrastructure & Roads
The stone crushing unit near Tamar covers our entire area in dust every afternoon. Please help us as soon as possible.;Air & Environmental Pollution
I am a resident of Ramgarh and the old age home in Sultanpur does not have enough staff to take care of the residents. Waiting for your response.;Safety & Public Welfare
There has been no streetlight on the road near Sahibganj for over 21 months. Kindly install streetlights on this stretch as soon as possible.;Infrastructure & Roads
As a woman living in Latehar, there have been several incidents of chain snatching near Jamtara market recently. Requesting you to resolve this soon.;Safety & Public Welfare
I am a class 35 student from Bokaro and we have not received our textbooks even though the session started 12 months ago. This is affecting our studies a lot, please help.;Education
Respected Sir/Madam, there is no proper sewage system in Latehar and waste water collects on the road every day. We are worried about the health of our children because of this water.;Water Quality & Sanitation
Respected Authority, the garbage collection point near Bero has not been cleared in weeks and smells very bad. Hope for quick action from your side.;Waste Management
Respected Sir/Madam, the computer lab in our school has been non functional for a long time. This needs to be fixed immediately.;Education
There has been a power cut in Karra for more than 25 hours every day. Please look into this matter urgently.;Energy & Sustainability
The footpath near Devgarh has been broken for a long time and it is difficult for elderly people to walk. Please look into this matter urgently.;Infrastructure & Roads
As a parent of a student in Palamu school, the mid day meal quality in our school has become very poor recently. Kindly arrange for the missing textbooks before our exams.;Education
Sir, there is no ambulance service available in Giridih during emergencies. We have been complaining about this for a long time now.;Public Health
Respected Authority, the road was dug up for pipeline work 24 months ago and still has not been repaired. Please help us as soon as possible.;Infrastructure & Roads
Sir ji, there has been no streetlight on the road near Chandpur for over 24 months. Please look into this matter urgently.;Infrastructure & Roads
Sir, the new transformer promised for Simdega has still not been installed. Kindly restore the power supply as soon as possible.;Energy & Sustainability
